Uri,Title,Artist,Genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
https://open.spotify.com/track/4q8PHoRsPUB52LFylX8Ulz,more than you know,Axwell /\ Ingrosso,big room,0.645,0.741,-4.989,0.0339,0.0323,0,0.29,0.534,123.07
https://open.spotify.com/track/7hvxMYq9JW5W0vFwiu1Zdr,dreamer,Axwell /\ Ingrosso,big room,0.624,0.845,-5.451,0.0353,0.0244,0,0.264,0.615,126.021
https://open.spotify.com/track/1nO67wic65N413c11zKxM7,silhouettes - original radio edit,Avicii,big room,0.605,0.8,-6.235,0.0545,0.155,0.0562,0.121,0.836,128.074
https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP,sos,Avicii - Aloe Blacc,big room,0.802,0.645,-6.181,0.0715,0.272,0,0.119,0.376,100.001
https://open.spotify.com/track/6EBlOYNcZ8MrdEov9lEdV6,hold the line,Avicii - A R I Z O N A,big room,0.648,0.554,-7.005,0.0341,0.329,2.56E-05,0.0803,0.372,98.045
https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc,the nights,Avicii,big room,0.527,0.835,-5.298,0.0433,0.0166,0,0.249,0.654,125.983
https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp,all around the world,R3HAB - A Touch Of Class,big room,0.733,0.859,-5.03,0.033,0.479,0.0645,0.105,0.52,124.948
https://open.spotify.com/track/6aPDvttLmezuUlv60ExTH9,fades away,Avicii - Noonie Bao,big room,0.53,0.525,-8.319,0.0585,0.228,2.20E-06,0.0812,0.225,134.236
https://open.spotify.com/track/042x9bsUBWW2fJgJ6fUh61,not going home,DVBBS - CMC$ - Gia Koka,big room,0.713,0.733,-6.431,0.152,0.0933,2.23E-05,0.237,0.502,108.992
https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa,ritual,Tiësto - Jonas Blue - Rita Ora,big room,0.647,0.726,-4.389,0.0552,0.157,0,0.0844,0.767,114.996
https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy,high on life,Martin Garrix - Bonn,big room,0.414,0.486,-6.431,0.0311,0.0129,0,0.111,0.368,128.038
https://open.spotify.com/track/26hcyzSE154xMZCbFdtInA,taped up heart,KREAM - Clara Mae,big room,0.675,0.937,-3.525,0.0509,0.152,0,0.154,0.567,103.961
https://open.spotify.com/track/4aTtHoSBB0CuQGA6vXBNyp,home,Martin Garrix - Bonn,big room,0.466,0.612,-4.855,0.0307,0.0655,4.07E-06,0.132,0.236,128.114
https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ,heaven,Avicii,big room,0.592,0.873,-5.65,0.0275,0.0715,0.00982,0.142,0.516,122.011
https://open.spotify.com/track/5Iy2Jj87Ha0C0IBlNE1I4y,the days,Avicii,big room,0.59,0.724,-3.278,0.0439,0.04,4.07E-05,0.142,0.526,127.059
https://open.spotify.com/track/6SRnVRobwLtovI4JEWejDv,true feeling,Galantis,big room,0.588,0.708,-4.054,0.042,0.0775,0.000645,0.126,0.22,127.961
https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD,wake me up,Avicii,big room,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08
https://open.spotify.com/track/2ODKShrWcNSyoqqCWHzuzR,girls on boys,Galantis - ROZES,big room,0.638,0.62,-2.416,0.0555,0.194,0.000113,0.073,0.492,95.868
https://open.spotify.com/track/4ZTTUAjJCd4NMZmIU7RB4c,midnight,Alesso - Liam Payne,big room,0.587,0.648,-6.927,0.0439,0.0561,0,0.115,0.281,144.028
https://open.spotify.com/track/3MhNgzZwFtUF6jSr6pRSkW,aint a thing,Avicii - Bonn,big room,0.454,0.423,-7.286,0.0552,0.544,0,0.0538,0.245,170.162
https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr,waste it on me,Steve Aoki - BTS,big room,0.669,0.684,-4.595,0.0585,0.252,0,0.72,0.466,96.097
https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD,burn out,Martin Garrix - Justin Mylo - Dewain Whitmore,big room,0.594,0.722,-5.751,0.0398,0.0156,0,0.0667,0.407,127.877
https://open.spotify.com/track/2KwojFDebQV4J2b0JMRR5Q,is that for me,Alesso - Anitta,big room,0.761,0.785,-5.502,0.0505,0.234,0.237,0.0573,0.58,104.992
https://open.spotify.com/track/2JoIjuzRplpYGvvLpSW2on,sad song,Alesso - TINI,big room,0.734,0.693,-6.474,0.0361,0.0878,0,0.341,0.55,110.021
https://open.spotify.com/track/5abwHwUhywLGNli5NDcEN7,magic,Thomas Gold - Jillian Edwards,big room,0.629,0.882,-5.231,0.0449,0.0502,0.000584,0.0971,0.436,105.004
https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,in the name of love,Martin Garrix - Bebe Rexha,big room,0.49,0.485,-6.237,0.0406,0.0592,0,0.337,0.196,133.889
https://open.spotify.com/track/1pfgsjmxVZhoZpeDx6POKv,bones,Galantis - OneRepublic,big room,0.658,0.804,-5.735,0.0377,0.00463,0,0.178,0.508,120.047
https://open.spotify.com/track/2bNrvWD9d5Zn9tS8XvcaMk,i could be the one  - nicktim / radio edit,Avicii - Nicky Romero,big room,0.509,0.79,-3.782,0.0374,0.332,6.67E-05,0.316,0.638,127.946
https://open.spotify.com/track/6kXNnS7JJz0nAv4XEwEmQJ,heart upon my sleeve,Avicii - Imagine Dragons,big room,0.588,0.601,-5.983,0.0332,0.316,0,0.148,0.38,126.06
https://open.spotify.com/track/5oAgI7Pzg6vxuKrfapg3Pi,pizza,Martin Garrix,big room,0.381,0.712,-6.9,0.0355,0.000408,0.589,0.183,0.0378,127.967
https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd,no money,Galantis,big room,0.671,0.916,-4.014,0.0397,0.0282,0.00762,0.24,0.803,126.01
https://open.spotify.com/track/7HC3sppue0re7HPfo5zscF,you make me,Avicii,big room,0.586,0.727,-4.799,0.039,0.00247,0.0107,0.152,0.496,124.99
https://open.spotify.com/track/5WEqjIUHkwZ5h3DSE7F9bM,friend of mine,Avicii - Vargas & Lagola,big room,0.701,0.717,-4.367,0.056,0.0181,0.00599,0.0713,0.666,109.999
https://open.spotify.com/track/2BVVmJQZv4fOPWavI9mkIj,broken arrows,Avicii,big room,0.634,0.674,-7.145,0.0465,0.0487,0.00116,0.102,0.298,115.995
https://open.spotify.com/track/6O85MfGECKBqAK2MgSbCaj,places,Martin Solveig - Ina Wroldsen,big room,0.728,0.858,-3.866,0.0457,0.264,0.000761,0.158,0.638,122.01
https://open.spotify.com/track/3gfmFoJgmn9LiIj5mV8oSS,i just cant,R3HAB - Quintino,big room,0.652,0.595,-6.944,0.0419,0.162,0,0.148,0.303,77.538
https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,scared to be lonely,Martin Garrix - Dua Lipa,big room,0.584,0.54,-7.786,0.0576,0.0895,0,0.261,0.195,137.972
https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN,the business,Tiësto,big room,0.798,0.62,-7.079,0.232,0.414,0.0192,0.112,0.235,120.031
https://open.spotify.com/track/6IpvkngH89cA3hhPC84Leg,wish - trippie mix,Diplo - Trippie Redd,bmore,0.561,0.832,-7.661,0.0717,0.232,0,0.107,0.666,93.991
https://open.spotify.com/track/7thTA3hqO2MgOlzo0rPInX,color blind,Diplo - Lil Xan,bmore,0.469,0.786,-5.396,0.186,0.0126,3.76E-05,0.503,0.409,87.023
https://open.spotify.com/track/6GW4n7EdAV9w8YpAgtJnuc,worry no more,Diplo - Lil Yachty - Santigold,bmore,0.592,0.731,-5.794,0.0404,0.0185,0,0.726,0.392,166.028
https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt,heartless,Diplo - Morgan Wallen,bmore,0.764,0.555,-6.414,0.0604,0.275,0,0.0824,0.255,111.004
https://open.spotify.com/track/5mqzhMuUpvnMfwNz6iepmO,welcome to the party  - from deadpool 2,Diplo - French Montana - Lil Pump - Zhavia Ward,bmore,0.618,0.845,0.175,0.132,0.114,0,0.415,0.486,171.921
https://open.spotify.com/track/68m6iwhKElLTBaGRG1LLwE,get it right,Diplo - MØ,bmore,0.456,0.833,-4.242,0.0964,0.108,1.71E-05,0.0592,0.261,159.808
https://open.spotify.com/track/4fwo6czG5nvOQMzhOto1ya,lonely,Diplo - Jonas Brothers,bmore,0.738,0.717,-5.121,0.0573,0.062,0,0.205,0.5,98.047
https://open.spotify.com/track/0IQCOAw9ZAI6WnXIrl481F,hoje eu vou parar na gaiola,Mc Livinho - Rennan da Penha,brazilian edm,0.65,0.361,-7.153,0.404,0.0331,0,0.0978,0.844,89.803
https://open.spotify.com/track/5yH8pYxNckOU1cxfPsMIaz,agora é tudo meu,Dennis DJ - MC Kevinho,brazilian edm,0.848,0.933,-3.306,0.106,0.7,2.81E-06,0.184,0.506,139.998
https://open.spotify.com/track/6pSYjx66rlqRmGGTHhnjCo,fazer falta,Mc Livinho,brazilian edm,0.532,0.467,-6.499,0.117,0.0133,2.91E-06,0.226,0.249,76.792
https://open.spotify.com/track/5dKesZwp6deuhEeW8F1UEi,hit contagiante,Felipe Original - MC Kevin o Chris - Sodré - JS o Mão de Ouro,brega funk,0.819,0.684,-7.169,0.119,0.132,0,0.0942,0.959,170.187
https://open.spotify.com/track/0pDaqgIForVNO4jrtTxcWT,agora vai sentar,MC's Jhowzinho & Kadinho,brega funk,0.814,0.653,-0.02,0.0359,0.189,0,0.0876,0.706,130.099
https://open.spotify.com/track/1Wolb8MRcXR2IMMaELTRpE,envolvimento,MC Loma e As Gêmeas Lacração,brega funk,0.852,0.902,-4.669,0.159,0.447,0,0.0349,0.965,164.971
https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r,surtada - remix brega funk,Dadá Boladão - Tati Zaqui - OIK,brega funk,0.832,0.55,-7.026,0.0587,0.249,8.17E-06,0.182,0.881,154.064
https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS,tudo ok,Thiaguinho MT - Mila - JS o Mão de Ouro,brega funk,0.814,0.755,-6.164,0.0942,0.239,0,0.306,0.963,79.976
https://open.spotify.com/track/1oyHrYZ76akL8DlztHUbRP,frosty the snowman,The Ronettes,brill building pop,0.382,0.879,-7.584,0.0642,0.228,0,0.408,0.559,143.741
https://open.spotify.com/track/1ODZGydlown4VesUP8HLJX,sleigh ride,The Ronettes,brill building pop,0.527,0.768,-7.557,0.0304,0.457,2.36E-06,0.304,0.799,91.75
https://open.spotify.com/track/46pF1zFimM582ss1PrMy68,christmas,Darlene Love,brill building pop,0.325,0.759,-7.146,0.053,0.395,0.000362,0.0773,0.36,126.627
https://open.spotify.com/track/0jiPKUSdsJNCxMPHjMqptk,christmas,Darlene Love,brill building pop,0.34,0.805,-6.3,0.053,0.275,0.000459,0.0988,0.341,126.865
https://open.spotify.com/track/6bNuwzORFWORu9Ym7dBCPl,christmas,Darlene Love,brill building pop,0.325,0.759,-7.146,0.053,0.395,0.000362,0.0773,0.36,126.627
https://open.spotify.com/track/5ASM6Qjiav2xPe7gRkQMsQ,sleigh ride,The Ronettes,brill building pop,0.529,0.772,-7.013,0.0287,0.403,2.21E-06,0.316,0.853,91.751
https://open.spotify.com/track/4KzOYxD4qIkUtZV9ZYakGu,original me,YUNGBLUD - Dan Reynolds,british indie rock,0.471,0.786,-5.24,0.192,0.00888,1.89E-06,0.187,0.61,160.01
https://open.spotify.com/track/4mGdjNMo0RonTlOEb7cYg4,11 minutes,YUNGBLUD - Halsey - Travis Barker,british indie rock,0.464,0.852,-3.804,0.067,0.0116,0,0.108,0.233,160.075
https://open.spotify.com/track/34t13rSSZtr22CjcmroMmh,i know you,Craig David - Bastille,british soul,0.56,0.746,-5.098,0.0894,0.151,0,0.0834,0.259,140.813
https://open.spotify.com/track/7rPLZ8Krm6CZIbraFUlnWZ,make you feel my love,Adele,british soul,0.325,0.18,-10.647,0.0311,0.91,0.000633,0.113,0.0997,72.416
https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw,hello,Adele,british soul,0.481,0.451,-6.095,0.0347,0.336,0,0.0872,0.289,157.966
https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb,send my love,Adele,british soul,0.69,0.524,-8.39,0.103,0.0415,3.16E-06,0.17,0.562,164.023
https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y,water under the bridge,Adele,british soul,0.596,0.838,-6.52,0.0704,0.0189,1.54E-05,0.108,0.472,94.982
https://open.spotify.com/track/78pn8k7RogKo2oxl0DyX6d,one more sleep,Leona Lewis,british soul,0.638,0.813,-3.849,0.0362,0.464,0,0.344,0.754,112.986
https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL,when we were young,Adele,british soul,0.381,0.594,-5.97,0.0486,0.348,0,0.0925,0.273,143.86
https://open.spotify.com/track/4kflIGfjdZJW4ot2ioixTB,someone like you,Adele,british soul,0.559,0.33,-8.251,0.0285,0.892,0,0.0975,0.285,135.109
https://open.spotify.com/track/3bxtgzAeAZPdRtKoPL5GG2,collide - radio edit,Leona Lewis - Avicii,british soul,0.595,0.745,-2.053,0.0259,0.0717,1.71E-06,0.448,0.459,124.993
https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U,this is me,Keala Settle - The Greatest Showman Ensemble,broadway,0.284,0.704,-7.276,0.186,0.00583,0.000115,0.0424,0.1,191.702
https://open.spotify.com/track/4TgHt7vKCimpywaiKfl0uj,make it rain,Pop Smoke - Rowdy Rebel,brooklyn drill,0.54,0.77,-3.981,0.389,0.194,2.74E-05,0.372,0.565,159.494
https://open.spotify.com/track/4OGIeHtYhRTJ8iW21UUyZW,bad bitch from tokyo,Pop Smoke,brooklyn drill,0.645,0.64,-6.871,0.179,0.395,1.04E-05,0.286,0.674,140.248
https://open.spotify.com/track/4Tc9PHEoeP17PQj3OOKXPu,diana,Pop Smoke - King Combs,brooklyn drill,0.794,0.792,-6.889,0.186,0.22,0,0.0998,0.546,126.994
https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,mood swings,Pop Smoke - Lil Tjay,brooklyn drill,0.48,0.602,-6.335,0.368,0.487,0,0.0848,0.269,179.798
https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK,deep end freestyle,Sleepy Hallow - Fousheé,brooklyn drill,0.876,0.479,-6.687,0.44,0.703,0,0.102,0.776,133.858
https://open.spotify.com/track/6O7fPYTsb2mY0PiFt2ymDB,aim for the moon,Pop Smoke - Quavo,brooklyn drill,0.713,0.605,-7.487,0.107,0.497,3.46E-06,0.115,0.432,142.025
https://open.spotify.com/track/7rSnKi58HPIVC0FVyh04Q1,shake the room,Pop Smoke - Quavo,brooklyn drill,0.733,0.684,-4.748,0.177,0.142,0,0.179,0.437,142.04
https://open.spotify.com/track/2SxR5RitJdsG6wINvJLBSD,tunnel vision,Pop Smoke,brooklyn drill,0.718,0.66,-7.39,0.325,0.363,0,0.159,0.659,142.879
https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,brooklyn drill,0.905,0.647,-5.065,0.107,0.0187,0,0.282,0.367,130.97
https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,for the night,Pop Smoke - Lil Baby - DaBaby,brooklyn drill,0.823,0.586,-6.606,0.2,0.114,0,0.193,0.347,125.971
https://open.spotify.com/track/3bAzFi7wGuOXJdgOYyFDSW,losses,Lil Tjay,brooklyn drill,0.848,0.457,-10.118,0.293,0.153,0,0.115,0.227,100.018
https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep,dior,Pop Smoke,brooklyn drill,0.548,0.805,-5.732,0.351,0.212,0.000389,0.408,0.648,142.094
https://open.spotify.com/track/3NWrHCwvyII4fTx05PN3IO,enjoy yourself,Pop Smoke - KAROL G,brooklyn drill,0.764,0.676,-6.761,0.0927,0.389,0,0.215,0.461,97.02
https://open.spotify.com/track/0bjgQ24UZGwKikldIyEOgf,yea yea,Pop Smoke,brooklyn drill,0.717,0.474,-8.383,0.403,0.0509,0,0.139,0.448,123.906
https://open.spotify.com/track/3eV2WT9YhfzkxbufnBF8wK,creature,Pop Smoke - Swae Lee,brooklyn drill,0.794,0.717,-5.73,0.251,0.0511,0,0.195,0.372,141.881
https://open.spotify.com/track/2AlYncTpVHKwHb55F9lF6O,deep end freestyle,Sleepy Hallow - Fousheé,brooklyn drill,0.868,0.479,-6.687,0.445,0.703,0,0.102,0.776,133.928
https://open.spotify.com/track/0fIffclhgJC5h8AdMMVvkp,welcome to the party,Pop Smoke,brooklyn drill,0.637,0.723,-5.547,0.091,0.0134,7.87E-05,0.196,0.228,143.013
https://open.spotify.com/track/71d7LaAgPcNcUopu3OzmP7,make it rain,Pop Smoke - Rowdy Rebel,brooklyn drill,0.5,0.767,-4.105,0.403,0.162,9.79E-05,0.385,0.58,159.477
https://open.spotify.com/track/5kkaSMcf4BFlhRRICCKZb6,something special,Pop Smoke,brooklyn drill,0.739,0.616,-6.963,0.0338,0.252,1.93E-06,0.101,0.654,91.071
https://open.spotify.com/track/2FhEj9lvEIaJihjFprRrGt,snitching,Pop Smoke - Quavo - Future,brooklyn drill,0.944,0.579,-4.961,0.191,0.0381,0,0.253,0.769,135.033
https://open.spotify.com/track/0UPBidRYcgJ2mjZlk08V8x,f.n,Lil Tjay,brooklyn drill,0.562,0.502,-10.269,0.255,0.323,0,0.0757,0.322,120.104
https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn,the woo,Pop Smoke - 50 Cent - Roddy Ricch,brooklyn drill,0.49,0.618,-5.655,0.104,0.0221,3.77E-06,0.259,0.286,99.7
https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,what you know bout love,Pop Smoke,brooklyn drill,0.709,0.548,-8.493,0.353,0.65,1.59E-06,0.133,0.543,83.995
https://open.spotify.com/track/1hg3RlqFZXJb5YgRoK9qmF,gangstas,Pop Smoke,brooklyn drill,0.548,0.506,-7.434,0.102,0.203,0.0001,0.0788,0.557,119.987
https://open.spotify.com/track/7sjFIZ1g5QLJLGja3k592K,44 bulldog,Pop Smoke,brooklyn drill,0.8,0.564,-5.817,0.4,0.0287,1.65E-06,0.112,0.318,139.989
